dataset,predictor,seed,method,matched_pairs,peak_smd,tail_contrast,contrast_ci_low,contrast_ci_high,regime,evidence_status,raw_f1,raw_f1_ci_low,raw_f1_ci_high,event_recall,event_recall_ci_low,event_recall_ci_high,mttd,mttd_ci_low,mttd_ci_high
SMD,one_step,0,raw_realtime,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.07815199927244065,0.05513620863175971,0.11066719440706327,0.5565749235474006,0.5015290519877675,0.6116207951070336,22.065934065934066,13.165775401069519,33.698970170454544
SMD,one_step,0,raw_delayed,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.0720283748143208,0.04928417024620345,0.10324825483951833,0.37003058103975534,0.3180428134556575,0.42507645259938837,30.487603305785125,17.8015843837535,47.666885964912275
SMD,one_step,0,confirmation_mean,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.09045987813381028,0.06517981392060553,0.12508824386454132,0.42201834862385323,0.37003058103975534,0.47706422018348627,32.072463768115945,18.706848391674548,48.775394265232954
SMD,one_step,0,ewma,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.09506775396368265,0.06691991685276519,0.13342134883927292,0.39143730886850153,0.3363914373088685,0.44648318042813456,28.6484375,17.92045369328834,41.14411573673141
MSL,one_step,0,raw_realtime,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0331899200983405,0.004705189749086435,0.08601169449218385,0.3055555555555556,0.16666666666666666,0.4722222222222222,90.27272727272727,18.599285714285717,201.88916666666665
MSL,one_step,0,raw_delayed,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0331899200983405,0.004654567786075797,0.08597984172152534,0.3055555555555556,0.16666666666666666,0.4722222222222222,88.72727272727273,16.125,201.20571428571418
MSL,one_step,0,confirmation_mean,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.03786109403810694,0.0042216125385743045,0.09318034450775464,0.16666666666666666,0.05555555555555555,0.3055555555555556,33.166666666666664,8.5,67.57857142857142
MSL,one_step,0,ewma,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0398279041180086,0.0014792080613113825,0.10032052296685552,0.16666666666666666,0.05555555555555555,0.3055555555555556,32.833333333333336,7.5,67.2
SMAP,one_step,0,raw_realtime,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.006791589689451922,0.004253290661825323,0.00987337370854733,0.417910447761194,0.29850746268656714,0.5373134328358209,45.75,27.89250541125541,67.43828124999999
SMAP,one_step,0,raw_delayed,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.006861968857218265,0.004318126779866944,0.009961927342043516,0.417910447761194,0.29850746268656714,0.5373134328358209,47.785714285714285,29.761822660098524,69.78268633540372
SMAP,one_step,0,confirmation_mean,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.008058414709246063,0.005063149847926439,0.011440141158339962,0.34328358208955223,0.23880597014925373,0.4626865671641791,61.869565217391305,30.705340557275544,100.54588068181818
SMAP,one_step,0,ewma,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.011331046010380928,0.007276237470506696,0.016496724237760725,0.29850746268656714,0.19402985074626866,0.40298507462686567,82.3,37.378160919540235,135.4091577540107
PSM,one_step,0,raw_realtime,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.02457596390153499,0.011192892046050203,0.07190161703657338,0.5138888888888888,0.4027777777777778,0.625,104.8108108108108,8.575334224598931,299.69834280303013
PSM,one_step,0,raw_delayed,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.02207807904596914,0.00954649192203122,0.06514329483425509,0.2638888888888889,0.16666666666666666,0.375,206.10526315789474,20.686979166666667,577.3508951406649
PSM,one_step,0,confirmation_mean,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.024173079247411463,0.010234708425701624,0.07439518487274434,0.5,0.3888888888888889,0.6111111111111112,176.69444444444446,18.332432432432434,448.4012068965517
PSM,one_step,0,ewma,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.024656540832359693,0.010058027319210995,0.07686698313700062,0.4861111111111111,0.375,0.5972222222222222,181.45714285714286,18.456825396825394,459.8814285714286
SWaT,one_step,0,raw_realtime,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.019658525434755852,0.00786743176554799,0.07028030852929644,0.42857142857142855,0.2571428571428571,0.6,453.2,88.19692307692308,1051.9367857142856
